uuid,distance,rssi
d6:fb:b2:5e:83:c5,0.5,-79
d6:fb:b2:5e:83:c5,0.5,-78
d6:fb:b2:5e:83:c5,0.5,-80
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-86
d6:fb:b2:5e:83:c5,0.5,-88
d6:fb:b2:5e:83:c5,0.5,-76
d6:fb:b2:5e:83:c5,0.5,-52
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-62
d6:fb:b2:5e:83:c5,0.5,-63
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-48
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-62
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-49
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-63
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-48
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-48
d6:fb:b2:5e:83:c5,0.5,-62
d6:fb:b2:5e:83:c5,0.5,-62
d6:fb:b2:5e:83:c5,0.5,-63
d6:fb:b2:5e:83:c5,0.5,-63
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-49
d6:fb:b2:5e:83:c5,0.5,-63
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-62
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-49
d6:fb:b2:5e:83:c5,0.5,-48
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-47
d6:fb:b2:5e:83:c5,0.5,-54
d6:fb:b2:5e:83:c5,0.5,-77
d6:fb:b2:5e:83:c5,0.5,-91
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-47
d6:fb:b2:5e:83:c5,0.5,-62
d6:fb:b2:5e:83:c5,0.5,-63
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-62
d6:fb:b2:5e:83:c5,0.5,-63
d6:fb:b2:5e:83:c5,0.5,-50
d6:fb:b2:5e:83:c5,0.5,-49
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-49
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-60
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-66
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-56
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-75
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-58
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-57
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-53
d6:fb:b2:5e:83:c5,0.5,-50
d6:fb:b2:5e:83:c5,0.5,-66
d6:fb:b2:5e:83:c5,0.5,-61
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-58
d6:fb:b2:5e:83:c5,0.5,-54
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-54
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-77
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-57
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-77
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-82
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-58
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-51
d6:fb:b2:5e:83:c5,0.5,-74
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-75
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-53
d6:fb:b2:5e:83:c5,0.5,-77
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-76
d6:fb:b2:5e:83:c5,0.5,-62
d6:fb:b2:5e:83:c5,0.5,-52
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-59
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-66
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-57
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-74
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-54
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-58
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-55
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-58
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-63
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-78
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-57
d6:fb:b2:5e:83:c5,0.5,-74
d6:fb:b2:5e:83:c5,0.5,-57
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-59
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-59
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-75
d6:fb:b2:5e:83:c5,0.5,-84
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-74
d6:fb:b2:5e:83:c5,0.5,-76
d6:fb:b2:5e:83:c5,0.5,-80
d6:fb:b2:5e:83:c5,0.5,-82
d6:fb:b2:5e:83:c5,0.5,-83
d6:fb:b2:5e:83:c5,0.5,-81
d6:fb:b2:5e:83:c5,0.5,-80
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-85
d6:fb:b2:5e:83:c5,0.5,-84
d6:fb:b2:5e:83:c5,0.5,-80
d6:fb:b2:5e:83:c5,0.5,-87
d6:fb:b2:5e:83:c5,0.5,-82
d6:fb:b2:5e:83:c5,0.5,-81
d6:fb:b2:5e:83:c5,0.5,-86
d6:fb:b2:5e:83:c5,0.5,-89
d6:fb:b2:5e:83:c5,0.5,-80
d6:fb:b2:5e:83:c5,0.5,-89
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-79
d6:fb:b2:5e:83:c5,0.5,-76
d6:fb:b2:5e:83:c5,0.5,-80
d6:fb:b2:5e:83:c5,0.5,-74
d6:fb:b2:5e:83:c5,0.5,-81
d6:fb:b2:5e:83:c5,0.5,-76
d6:fb:b2:5e:83:c5,0.5,-76
d6:fb:b2:5e:83:c5,0.5,-74
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-83
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-78
d6:fb:b2:5e:83:c5,0.5,-75
d6:fb:b2:5e:83:c5,0.5,-78
d6:fb:b2:5e:83:c5,0.5,-79
d6:fb:b2:5e:83:c5,0.5,-75
d6:fb:b2:5e:83:c5,0.5,-79
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-82
d6:fb:b2:5e:83:c5,0.5,-84
d6:fb:b2:5e:83:c5,0.5,-76
d6:fb:b2:5e:83:c5,0.5,-63
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-74
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-63
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-52
d6:fb:b2:5e:83:c5,0.5,-51
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-59
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-56
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-66
d6:fb:b2:5e:83:c5,0.5,-76
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-91
d6:fb:b2:5e:83:c5,0.5,-88
d6:fb:b2:5e:83:c5,0.5,-78
d6:fb:b2:5e:83:c5,0.5,-83
d6:fb:b2:5e:83:c5,0.5,-86
d6:fb:b2:5e:83:c5,0.5,-93
d6:fb:b2:5e:83:c5,0.5,-84
d6:fb:b2:5e:83:c5,0.5,-90
d6:fb:b2:5e:83:c5,0.5,-85
d6:fb:b2:5e:83:c5,0.5,-82
d6:fb:b2:5e:83:c5,0.5,-93
d6:fb:b2:5e:83:c5,0.5,-92
d6:fb:b2:5e:83:c5,0.5,-81
d6:fb:b2:5e:83:c5,0.5,-89
d6:fb:b2:5e:83:c5,0.5,-94
d6:fb:b2:5e:83:c5,0.5,-82
d6:fb:b2:5e:83:c5,0.5,-79
d6:fb:b2:5e:83:c5,0.5,-93
d6:fb:b2:5e:83:c5,0.5,-91
d6:fb:b2:5e:83:c5,0.5,-94
d6:fb:b2:5e:83:c5,0.5,-90
d6:fb:b2:5e:83:c5,0.5,-90
d6:fb:b2:5e:83:c5,0.5,-88
d6:fb:b2:5e:83:c5,0.5,-79
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-83
d6:fb:b2:5e:83:c5,0.5,-84
d6:fb:b2:5e:83:c5,0.5,-90
d6:fb:b2:5e:83:c5,0.5,-81
d6:fb:b2:5e:83:c5,0.5,-85
d6:fb:b2:5e:83:c5,0.5,-88
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-79
d6:fb:b2:5e:83:c5,0.5,-76
d6:fb:b2:5e:83:c5,0.5,-78
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-83
d6:fb:b2:5e:83:c5,0.5,-78
d6:fb:b2:5e:83:c5,0.5,-77
d6:fb:b2:5e:83:c5,0.5,-85
d6:fb:b2:5e:83:c5,0.5,-85
d6:fb:b2:5e:83:c5,0.5,-91
d6:fb:b2:5e:83:c5,0.5,-92
d6:fb:b2:5e:83:c5,0.5,-83
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-87
d6:fb:b2:5e:83:c5,0.5,-80
d6:fb:b2:5e:83:c5,0.5,-88
d6:fb:b2:5e:83:c5,0.5,-87
d6:fb:b2:5e:83:c5,0.5,-77
d6:fb:b2:5e:83:c5,0.5,-79
d6:fb:b2:5e:83:c5,0.5,-76
d6:fb:b2:5e:83:c5,0.5,-79
d6:fb:b2:5e:83:c5,0.5,-78
d6:fb:b2:5e:83:c5,0.5,-77
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-86
d6:fb:b2:5e:83:c5,0.5,-83
d6:fb:b2:5e:83:c5,0.5,-78
d6:fb:b2:5e:83:c5,0.5,-85
d6:fb:b2:5e:83:c5,0.5,-87
d6:fb:b2:5e:83:c5,0.5,-82
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-57
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-79
d6:fb:b2:5e:83:c5,0.5,-62
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-73
d6:fb:b2:5e:83:c5,0.5,-61
d6:fb:b2:5e:83:c5,0.5,-78
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-58
d6:fb:b2:5e:83:c5,0.5,-75
d6:fb:b2:5e:83:c5,0.5,-74
d6:fb:b2:5e:83:c5,0.5,-77
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-75
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-58
d6:fb:b2:5e:83:c5,0.5,-59
d6:fb:b2:5e:83:c5,0.5,-64
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-53
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-54
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-54
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-53
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-66
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-63
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-75
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-76
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-55
d6:fb:b2:5e:83:c5,0.5,-56
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-66
d6:fb:b2:5e:83:c5,0.5,-54
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-70
d6:fb:b2:5e:83:c5,0.5,-55
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-51
d6:fb:b2:5e:83:c5,0.5,-66
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-72
d6:fb:b2:5e:83:c5,0.5,-68
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-66
d6:fb:b2:5e:83:c5,0.5,-55
d6:fb:b2:5e:83:c5,0.5,-67
d6:fb:b2:5e:83:c5,0.5,-71
d6:fb:b2:5e:83:c5,0.5,-69
d6:fb:b2:5e:83:c5,0.5,-65
d6:fb:b2:5e:83:c5,0.5,-70
