uuid,distance,rssi
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-80
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-100
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-87
d6:fb:b2:5e:83:c5,4,-82
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-88
d6:fb:b2:5e:83:c5,4,-101
d6:fb:b2:5e:83:c5,4,-100
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-84
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-85
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-83
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-87
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-91
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-80
d6:fb:b2:5e:83:c5,4,-100
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-81
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-79
d6:fb:b2:5e:83:c5,4,-83
d6:fb:b2:5e:83:c5,4,-86
d6:fb:b2:5e:83:c5,4,-81
d6:fb:b2:5e:83:c5,4,-80
d6:fb:b2:5e:83:c5,4,-72
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-103
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-91
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-79
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-87
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-89
d6:fb:b2:5e:83:c5,4,-91
d6:fb:b2:5e:83:c5,4,-78
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-81
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-91
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-100
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-78
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-87
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-84
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-83
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-88
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-85
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-101
d6:fb:b2:5e:83:c5,4,-90
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-83
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-81
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-91
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-79
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-86
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-81
d6:fb:b2:5e:83:c5,4,-100
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-83
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-90
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-83
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-81
d6:fb:b2:5e:83:c5,4,-91
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-81
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-90
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-102
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-86
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-108
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-82
d6:fb:b2:5e:83:c5,4,-89
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-82
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-86
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-80
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-106
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-88
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-87
d6:fb:b2:5e:83:c5,4,-85
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-91
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-83
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-88
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-86
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-100
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-85
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-100
d6:fb:b2:5e:83:c5,4,-84
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-85
d6:fb:b2:5e:83:c5,4,-82
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-92
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-82
d6:fb:b2:5e:83:c5,4,-83
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-88
d6:fb:b2:5e:83:c5,4,-85
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-85
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-87
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-91
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-84
d6:fb:b2:5e:83:c5,4,-87
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-80
d6:fb:b2:5e:83:c5,4,-83
d6:fb:b2:5e:83:c5,4,-85
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-103
d6:fb:b2:5e:83:c5,4,-101
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-85
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-82
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-99
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-86
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-93
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-84
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-100
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-97
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-84
d6:fb:b2:5e:83:c5,4,-82
d6:fb:b2:5e:83:c5,4,-94
d6:fb:b2:5e:83:c5,4,-95
d6:fb:b2:5e:83:c5,4,-96
d6:fb:b2:5e:83:c5,4,-103
d6:fb:b2:5e:83:c5,4,-98
d6:fb:b2:5e:83:c5,4,-97
